genome_origin	qseqid	pident	length	evalue	bitscore	sseqid	stitle
573.10075	573.10075|accn|FWPB01000056_1|accn|FWPB01000056_1:4;size=2	100.0	42	1.47e-15	83.8	NZ_JBRYYQ010000003.1	NZ_JBRYYQ010000003.1 Klebsiella pneumoniae strain MBI-24-2 plasmid pMBI24-2-1, whole genome shotgun sequence
573.10075	573.10075|accn|FWPB01000056_1|accn|FWPB01000056_1:7;size=5	100.0	43	3.88e-16	85.7	NZ_JBRYYQ010000003.1	NZ_JBRYYQ010000003.1 Klebsiella pneumoniae strain MBI-24-2 plasmid pMBI24-2-1, whole genome shotgun sequence
573.13199	573.13199|accn|573.13199.con.0029_1|accn|573.13199.con.0029_1:21;size=1	100.0	32	8.54e-10	63.9	NZ_JAMOLP010000004.1	NZ_JAMOLP010000004.1 Klebsiella pneumoniae strain Z0117KP0043 plasmid pZ0117KP0043-1, whole genome shotgun sequence
573.13199	573.13199|accn|573.13199.con.0029_1|accn|573.13199.con.0029_1:24;size=1	100.0	32	8.54e-10	63.9	NZ_JBRAVK010000003.1	NZ_JBRAVK010000003.1 Klebsiella quasipneumoniae strain 24AR0184 plasmid p24AR0184B, whole genome shotgun sequence
573.13199	573.13199|accn|573.13199.con.0029_1|accn|573.13199.con.0029_1:25;size=1	100.0	32	8.54e-10	63.9	NZ_JBSQHF010000002.1	NZ_JBSQHF010000002.1 Klebsiella pneumoniae strain L20 map unlocalized plasmid unnamed contig_3, whole genome shotgun sequence
573.13199	573.13199|accn|573.13199.con.0029_1|accn|573.13199.con.0029_1:34;size=1	100.0	29	5.27e-08	58.0	NZ_JAMOLP010000004.1	NZ_JAMOLP010000004.1 Klebsiella pneumoniae strain Z0117KP0043 plasmid pZ0117KP0043-1, whole genome shotgun sequence
573.13304	573.13304|accn|573.13304.con.0023_1|accn|573.13304.con.0023_1:11;size=1	100.0	32	8.54e-10	63.9	NZ_JBSMIZ010000002.1	NZ_JBSMIZ010000002.1 Klebsiella pneumoniae strain PS-71 plasmid p1, whole genome shotgun sequence
573.13304	573.13304|accn|573.13304.con.0023_1|accn|573.13304.con.0023_1:5;size=1	100.0	32	8.54e-10	63.9	NZ_JBSQHG010000002.1	NZ_JBSQHG010000002.1 Klebsiella grimontii strain L15 map unlocalized plasmid unnamed contig_2, whole genome shotgun sequence
573.13545	573.13545|accn|573.13545.con.0019_1|accn|573.13545.con.0019_1:16;size=1	100.0	32	8.54e-10	63.9	NZ_JBSMIZ010000005.1	NZ_JBSMIZ010000005.1 Klebsiella pneumoniae strain PS-71 plasmid p4, whole genome shotgun sequence
573.13545	573.13545|accn|573.13545.con.0019_1|accn|573.13545.con.0019_1:9;size=1	100.0	32	8.54e-10	63.9	NZ_JBRJPH010000003.1	NZ_JBRJPH010000003.1 Klebsiella aerogenes strain EB00136 plasmid p403_EB00136_3, whole genome shotgun sequence
573.13656	573.13656|accn|573.13656.con.0009_1|accn|573.13656.con.0009_1:26;size=1	100.0	32	8.54e-10	63.9	NZ_JBSMIZ010000002.1	NZ_JBSMIZ010000002.1 Klebsiella pneumoniae strain PS-71 plasmid p1, whole genome shotgun sequence
573.13656	573.13656|accn|573.13656.con.0009_1|accn|573.13656.con.0009_1:9;size=1	93.75	32	5.08e-05	48.1	NZ_JAMOLP010000004.1	NZ_JAMOLP010000004.1 Klebsiella pneumoniae strain Z0117KP0043 plasmid pZ0117KP0043-1, whole genome shotgun sequence
573.13745	573.13745|accn|573.13745.con.0030_1|accn|573.13745.con.0030_1:5;size=1	96.97	33	5.62e-08	58.0	NZ_JBSQHF010000002.1	NZ_JBSQHF010000002.1 Klebsiella pneumoniae strain L20 map unlocalized plasmid unnamed contig_3, whole genome shotgun sequence
573.13745	573.13745|accn|573.13745.con.0030_2|accn|573.13745.con.0030_2:12;size=1	96.552	29	1.37e-05	50.1	NZ_JANAVU010000004.1	NZ_JANAVU010000004.1 Klebsiella quasipneumoniae strain Kpn-96 map unlocalized plasmid pn-96 4, whole genome shotgun sequence
573.13853	573.13853|accn|573.13853.con.0004_1|accn|573.13853.con.0004_1:4;size=1	100.0	32	8.54e-10	63.9	NZ_JBSMIW010000004.1	NZ_JBSMIW010000004.1 Enterobacter roggenkampii strain SW-227 plasmid p3, whole genome shotgun sequence
573.13853	573.13853|accn|573.13853.con.0004_1|accn|573.13853.con.0004_1:52;size=1	100.0	32	8.54e-10	63.9	NZ_JBSMIZ010000002.1	NZ_JBSMIZ010000002.1 Klebsiella pneumoniae strain PS-71 plasmid p1, whole genome shotgun sequence
573.13853	573.13853|accn|573.13853.con.0004_1|accn|573.13853.con.0004_1:53;size=1	100.0	32	8.54e-10	63.9	NZ_JBSMIU010000003.1	NZ_JBSMIU010000003.1 Klebsiella quasivariicola strain SW-9 plasmid p2, whole genome shotgun sequence
573.14095	573.14095|accn|573.14095.con.0052_1|accn|573.14095.con.0052_1:12;size=1	90.244	41	2.4e-05	50.1	NZ_JARYHX010000005.1	NZ_JARYHX010000005.1 Staphylococcus aureus strain GE-MSSA39 plasmid unnamed3, whole genome shotgun sequence
573.14095	573.14095|accn|573.14095.con.0052_1|accn|573.14095.con.0052_1:13;size=2	88.889	45	2.91e-05	50.1	NZ_JBSJXU010000003.1	NZ_JBSJXU010000003.1 Enterococcus alishanensis strain JNUCC 77 plasmid unnamed2, whole genome shotgun sequence
573.14095	573.14095|accn|573.14095.con.0052_1|accn|573.14095.con.0052_1:6;size=1	87.755	49	2.91e-05	50.1	NZ_JACGYC010000002.1	NZ_JACGYC010000002.1 Staphylococcus aureus strain SA2028 map unlocalized plasmid unnamed NODE_2_length_578871_cov_33.101906, whole genome shotgun sequence
573.14095	573.14095|accn|573.14095.con.0052_1|accn|573.14095.con.0052_1:7;size=1	85.294	68	8.05e-07	56.0	NZ_JBSJXU010000003.1	NZ_JBSJXU010000003.1 Enterococcus alishanensis strain JNUCC 77 plasmid unnamed2, whole genome shotgun sequence
573.14095	573.14095|accn|573.14095.con.0052_1|accn|573.14095.con.0052_1:8;size=1	89.583	48	4.72e-07	56.0	NZ_SDWQ01000010.1	NZ_SDWQ01000010.1 Staphylococcus aureus strain SCPM-O-B-8476 map unlocalized plasmid unnamed NODE_10_length_4097_cov_135.559446, whole genome shotgun sequence
573.14169	573.14169|accn|573.14169.con.0011_1|accn|573.14169.con.0011_1:15;size=2	100.0	33	2.88e-10	65.9	NZ_JAMOLP010000004.1	NZ_JAMOLP010000004.1 Klebsiella pneumoniae strain Z0117KP0043 plasmid pZ0117KP0043-1, whole genome shotgun sequence
573.14169	573.14169|accn|573.14169.con.0011_1|accn|573.14169.con.0011_1:20;size=2	96.97	33	7.03e-08	58.0	NZ_JBPSJV010000002.1	NZ_JBPSJV010000002.1 Klebsiella variicola strain 5-4756 plasmid p_contig2, whole genome shotgun sequence
573.14169	573.14169|accn|573.14169.con.0011_1|accn|573.14169.con.0011_1:2;size=2	96.667	30	4.33e-06	52.0	NZ_JAMOLP010000004.1	NZ_JAMOLP010000004.1 Klebsiella pneumoniae strain Z0117KP0043 plasmid pZ0117KP0043-1, whole genome shotgun sequence
573.14169	573.14169|accn|573.14169.con.0011_1|accn|573.14169.con.0011_1:7;size=2	96.97	33	7.03e-08	58.0	NZ_QRAH01000112.1	NZ_QRAH01000112.1 Klebsiella pneumoniae strain KPN_KPC_HUG_07 map unlocalized plasmid p2 kpn07_p2_03, whole genome shotgun sequence
573.14215	573.14215|accn|573.14215.con.0052-1_1|accn|573.14215.con.0052-1_1:13;size=1	100.0	31	3.37e-09	61.9	NZ_JBSKBN010000002.1	NZ_JBSKBN010000002.1 Klebsiella pneumoniae strain RC_863 plasmid unnamed1, whole genome shotgun sequence
573.1421	573.1421|accn|CCGZ01000066_1|accn|CCGZ01000066_1:2;size=1	91.429	35	0.000281	46.1	NZ_JARYHW010000002.1	NZ_JARYHW010000002.1 Staphylococcus aureus strain IT-MSSA51 plasmid unnamed, whole genome shotgun sequence
573.1421	573.1421|accn|CCGZ01000066_1|accn|CCGZ01000066_1:35;size=1	90.0	50	3.91e-08	60.0	NZ_JARYIE010000002.1	NZ_JARYIE010000002.1 Staphylococcus aureus strain GE-MRSA14 plasmid unnamed, whole genome shotgun sequence
573.1421	573.1421|accn|CCGZ01000066_1|accn|CCGZ01000066_1:36;size=1	90.566	53	6.34e-10	65.9	NZ_JARYHX010000005.1	NZ_JARYHX010000005.1 Staphylococcus aureus strain GE-MSSA39 plasmid unnamed3, whole genome shotgun sequence
573.1421	573.1421|accn|CCGZ01000066_1|accn|CCGZ01000066_1:42;size=1	89.474	57	6.34e-10	65.9	NZ_JACGYC010000002.1	NZ_JACGYC010000002.1 Staphylococcus aureus strain SA2028 map unlocalized plasmid unnamed NODE_2_length_578871_cov_33.101906, whole genome shotgun sequence
573.14379	573.14379|accn|573.14379.con.0012_1|accn|573.14379.con.0012_1:6;size=1	100.0	33	2.31e-10	65.9	NZ_JBRAVJ010000005.1	NZ_JBRAVJ010000005.1 Enterobacter cloacae strain 20AR0121 plasmid p20AR0121D, whole genome shotgun sequence
573.1459	573.1459|accn|CCJC01000081_4|accn|CCJC01000081_4:4;size=6	87.302	63	1.06e-08	61.9	NZ_JARYHW010000002.1	NZ_JARYHW010000002.1 Staphylococcus aureus strain IT-MSSA51 plasmid unnamed, whole genome shotgun sequence
573.14962	573.14962|accn|NPHL01000040_1|accn|NPHL01000040_1:10;size=1	100.0	32	8.54e-10	63.9	NZ_JBRYYQ010000003.1	NZ_JBRYYQ010000003.1 Klebsiella pneumoniae strain MBI-24-2 plasmid pMBI24-2-1, whole genome shotgun sequence
573.14962	573.14962|accn|NPHL01000040_1|accn|NPHL01000040_1:8;size=1	100.0	32	8.54e-10	63.9	NZ_JBRYYQ010000003.1	NZ_JBRYYQ010000003.1 Klebsiella pneumoniae strain MBI-24-2 plasmid pMBI24-2-1, whole genome shotgun sequence
573.14962	573.14962|accn|NPHL01000040_1|accn|NPHL01000040_1:9;size=2	100.0	32	8.54e-10	63.9	NZ_JBRYYQ010000003.1	NZ_JBRYYQ010000003.1 Klebsiella pneumoniae strain MBI-24-2 plasmid pMBI24-2-1, whole genome shotgun sequence
573.15045	573.15045|accn|NIUJ01000058_1|accn|NIUJ01000058_1:13;size=1	100.0	32	8.54e-10	63.9	NZ_JBSPEX010000002.1	NZ_JBSPEX010000002.1 Enterobacter kobei strain 5FRT2 plasmid pT5FRT2, whole genome shotgun sequence
573.15479	573.15479|accn|573.15479.con.0015-2_3|accn|573.15479.con.0015-2_3:2;size=1	96.875	32	2.08e-07	56.0	NZ_JBRTYI010000005.1	NZ_JBRTYI010000005.1 Klebsiella pneumoniae strain KP1 plasmid pKP1-pls4, whole genome shotgun sequence
573.15533	573.15533|accn|573.15533.con.0002_1|accn|573.15533.con.0002_1:14;size=1	100.0	32	8.54e-10	63.9	NZ_JBSQHF010000002.1	NZ_JBSQHF010000002.1 Klebsiella pneumoniae strain L20 map unlocalized plasmid unnamed contig_3, whole genome shotgun sequence
573.15533	573.15533|accn|573.15533.con.0002_1|accn|573.15533.con.0002_1:8;size=1	100.0	32	8.54e-10	63.9	NZ_JAULSG010000020.1	NZ_JAULSG010000020.1 Klebsiella pneumoniae strain MNH_G2C5F plasmid unnamed1, whole genome shotgun sequence
573.15537	573.15537|accn|573.15537.con.0002_1|accn|573.15537.con.0002_1:10;size=1	96.875	32	2.08e-07	56.0	NZ_JBROXS010000002.1	NZ_JBROXS010000002.1 Klebsiella pneumoniae strain CRKP-C197 plasmid unnamed1, whole genome shotgun sequence
573.15537	573.15537|accn|573.15537.con.0002_1|accn|573.15537.con.0002_1:16;size=2	100.0	32	8.54e-10	63.9	NZ_JBSQHF010000002.1	NZ_JBSQHF010000002.1 Klebsiella pneumoniae strain L20 map unlocalized plasmid unnamed contig_3, whole genome shotgun sequence
573.15537	573.15537|accn|573.15537.con.0002_1|accn|573.15537.con.0002_1:17;size=1	93.333	30	0.000792	44.1	NZ_JBQOUF010000017.1	NZ_JBQOUF010000017.1 Enterobacter hormaechei strain NIB013 plasmid pR27 17, whole genome shotgun sequence
573.15575	573.15575|accn|573.15575.con.0025_1|accn|573.15575.con.0025_1:10;size=1	97.222	36	1.31e-09	63.9	NZ_JBNGOD010000008.1	NZ_JBNGOD010000008.1 Klebsiella pneumoniae subsp. pneumoniae strain MDCL 36_2022 plasmid IncHI1B(pNDM-MAR), whole genome shotgun sequence
573.15575	573.15575|accn|573.15575.con.0025_1|accn|573.15575.con.0025_1:12;size=1	100.0	35	1.66e-11	69.9	NZ_JBNGOD010000008.1	NZ_JBNGOD010000008.1 Klebsiella pneumoniae subsp. pneumoniae strain MDCL 36_2022 plasmid IncHI1B(pNDM-MAR), whole genome shotgun sequence
573.15575	573.15575|accn|573.15575.con.0025_1|accn|573.15575.con.0025_1:14;size=1	97.436	39	2.03e-11	69.9	NZ_JBSKBN010000002.1	NZ_JBSKBN010000002.1 Klebsiella pneumoniae strain RC_863 plasmid unnamed1, whole genome shotgun sequence
573.15575	573.15575|accn|573.15575.con.0025_2|accn|573.15575.con.0025_2:2;size=1	96.552	29	1.28e-05	50.1	NZ_JBRYYQ010000004.1	NZ_JBRYYQ010000004.1 Klebsiella pneumoniae strain MBI-24-2 plasmid pMBI24-2-3, whole genome shotgun sequence
573.15607	573.15607|accn|573.15607.con.0019_2|accn|573.15607.con.0019_2:10;size=1	100.0	32	8.54e-10	63.9	NZ_JBRZEX010000003.1	NZ_JBRZEX010000003.1 Klebsiella variicola strain MULT00103 plasmid pMULT00103_3, whole genome shotgun sequence
573.15607	573.15607|accn|573.15607.con.0019_2|accn|573.15607.con.0019_2:11;size=1	96.552	29	1.28e-05	50.1	NZ_JBQRBL010000005.1	NZ_JBQRBL010000005.1 Escherichia coli strain MMC-J-0020 plasmid unnamed4, whole genome shotgun sequence
573.15607	573.15607|accn|573.15607.con.0019_2|accn|573.15607.con.0019_2:8;size=2	100.0	32	8.54e-10	63.9	NZ_JBDIXN010000002.1	NZ_JBDIXN010000002.1 Klebsiella pneumoniae strain 808330-17 map unlocalized plasmid p1530 2, whole genome shotgun sequence
573.1639	573.1639|accn|KQ089394_1|accn|KQ089394_1:22;size=1	100.0	32	8.54e-10	63.9	NZ_JBSQHF010000002.1	NZ_JBSQHF010000002.1 Klebsiella pneumoniae strain L20 map unlocalized plasmid unnamed contig_3, whole genome shotgun sequence
573.1639	573.1639|accn|KQ089394_1|accn|KQ089394_1:2;size=1	96.552	29	1.28e-05	50.1	NZ_JANAVU010000004.1	NZ_JANAVU010000004.1 Klebsiella quasipneumoniae strain Kpn-96 map unlocalized plasmid pn-96 4, whole genome shotgun sequence
573.1657	573.1657|accn|KQ089570_1|accn|KQ089570_1:16;size=1	100.0	34	6.2e-11	67.9	NZ_JBSMIZ010000002.1	NZ_JBSMIZ010000002.1 Klebsiella pneumoniae strain PS-71 plasmid p1, whole genome shotgun sequence
573.1659	573.1659|accn|KQ089610_2|accn|KQ089610_2:11;size=1	96.774	31	8.77e-07	54.0	NZ_JAMOLP010000004.1	NZ_JAMOLP010000004.1 Klebsiella pneumoniae strain Z0117KP0043 plasmid pZ0117KP0043-1, whole genome shotgun sequence
573.1749	573.1749|accn|KQ236875_1|accn|KQ236875_1:23;size=1	96.875	32	2.08e-07	56.0	NZ_JAMYDH010000375.1	NZ_JAMYDH010000375.1 Enterobacter asburiae strain ECL402 map unlocalized plasmid unnamed233 contig1586, whole genome shotgun sequence
573.1749	573.1749|accn|KQ236875_1|accn|KQ236875_1:26;size=1	93.75	32	5.08e-05	48.1	NZ_JALJQH010000006.1	NZ_JALJQH010000006.1 Escherichia coli strain GN02165 map unlocalized plasmid unnamed1 000004Farrow, whole genome shotgun sequence
573.1749	573.1749|accn|KQ236875_1|accn|KQ236875_1:27;size=1	93.548	31	0.000201	46.1	NZ_JBREQR010000004.1	NZ_JBREQR010000004.1 Escherichia coli strain 401651 plasmid pE401651_55, whole genome shotgun sequence
573.1749	573.1749|accn|KQ236875_1|accn|KQ236875_1:30;size=1	96.875	32	2.08e-07	56.0	NZ_JAMOLP010000004.1	NZ_JAMOLP010000004.1 Klebsiella pneumoniae strain Z0117KP0043 plasmid pZ0117KP0043-1, whole genome shotgun sequence
573.1749	573.1749|accn|KQ236875_1|accn|KQ236875_1:32;size=1	100.0	32	8.54e-10	63.9	NZ_JBROXS010000002.1	NZ_JBROXS010000002.1 Klebsiella pneumoniae strain CRKP-C197 plasmid unnamed1, whole genome shotgun sequence
573.18511	573.18511|accn|QIWD01000002_1|accn|QIWD01000002_1:21;size=1	100.0	32	8.54e-10	63.9	NZ_JAMOLP010000004.1	NZ_JAMOLP010000004.1 Klebsiella pneumoniae strain Z0117KP0043 plasmid pZ0117KP0043-1, whole genome shotgun sequence
573.19899	573.19899|accn|QPAD01000006_1|accn|QPAD01000006_1:25;size=1	93.548	31	0.000214	46.1	NZ_PEHC01000013.1	NZ_PEHC01000013.1 Serratia marcescens strain 7209 map unlocalized plasmid p7209-171 tig00000151, whole genome shotgun sequence
573.19899	573.19899|accn|QPAD01000006_1|accn|QPAD01000006_1:49;size=1	96.97	33	5.62e-08	58.0	NZ_JAMOLP010000004.1	NZ_JAMOLP010000004.1 Klebsiella pneumoniae strain Z0117KP0043 plasmid pZ0117KP0043-1, whole genome shotgun sequence
573.20071	573.20071|accn|AP018748_3|accn|AP018748_3:10;size=3	100.0	36	4.44e-12	71.9	NZ_JBRYYQ010000003.1	NZ_JBRYYQ010000003.1 Klebsiella pneumoniae strain MBI-24-2 plasmid pMBI24-2-1, whole genome shotgun sequence
573.20071	573.20071|accn|AP018748_3|accn|AP018748_3:1;size=3	100.0	36	4.44e-12	71.9	NZ_JBRYYQ010000003.1	NZ_JBRYYQ010000003.1 Klebsiella pneumoniae strain MBI-24-2 plasmid pMBI24-2-1, whole genome shotgun sequence
573.20071	573.20071|accn|AP018748_3|accn|AP018748_3:5;size=5	100.0	36	4.44e-12	71.9	NZ_JBRYYQ010000003.1	NZ_JBRYYQ010000003.1 Klebsiella pneumoniae strain MBI-24-2 plasmid pMBI24-2-1, whole genome shotgun sequence
573.20071	573.20071|accn|AP018748_3|accn|AP018748_3:6;size=5	100.0	36	4.44e-12	71.9	NZ_JBRYYQ010000003.1	NZ_JBRYYQ010000003.1 Klebsiella pneumoniae strain MBI-24-2 plasmid pMBI24-2-1, whole genome shotgun sequence
573.20071	573.20071|accn|AP018748_4|accn|AP018748_4:23;size=2	100.0	42	1.53e-15	83.8	NZ_JBRYHH010000001.1	NZ_JBRYHH010000001.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p1, whole genome shotgun sequence
573.20115	573.20115|accn|UGKN01000001_1|accn|UGKN01000001_1:12;size=1	93.939	33	1.37e-05	50.1	NZ_JBROXS010000002.1	NZ_JBROXS010000002.1 Klebsiella pneumoniae strain CRKP-C197 plasmid unnamed1, whole genome shotgun sequence
573.20115	573.20115|accn|UGKN01000001_1|accn|UGKN01000001_1:16;size=1	93.939	33	1.37e-05	50.1	NZ_JAMOLP010000004.1	NZ_JAMOLP010000004.1 Klebsiella pneumoniae strain Z0117KP0043 plasmid pZ0117KP0043-1, whole genome shotgun sequence
573.20115	573.20115|accn|UGKN01000001_1|accn|UGKN01000001_1:2;size=2	96.296	27	0.000214	46.1	NZ_JAMYDH010000375.1	NZ_JAMYDH010000375.1 Enterobacter asburiae strain ECL402 map unlocalized plasmid unnamed233 contig1586, whole genome shotgun sequence
573.20132	573.20132|accn|UGLD01000001_2|accn|UGLD01000001_2:22;size=1	93.939	33	1.37e-05	50.1	NZ_JAMOLP010000004.1	NZ_JAMOLP010000004.1 Klebsiella pneumoniae strain Z0117KP0043 plasmid pZ0117KP0043-1, whole genome shotgun sequence
573.20132	573.20132|accn|UGLD01000001_2|accn|UGLD01000001_2:27;size=1	97.059	34	1.51e-08	60.0	NZ_JANAVU010000004.1	NZ_JANAVU010000004.1 Klebsiella quasipneumoniae strain Kpn-96 map unlocalized plasmid pn-96 4, whole genome shotgun sequence
573.20132	573.20132|accn|UGLD01000001_2|accn|UGLD01000001_2:3;size=1	100.0	33	2.31e-10	65.9	NZ_JAMJQY010000002.1	NZ_JAMJQY010000002.1 Klebsiella pneumoniae strain UCO-361 plasmid pNDM-1_UCO-361, whole genome shotgun sequence
573.20132	573.20132|accn|UGLD01000001_2|accn|UGLD01000001_2:4;size=1	96.97	33	5.62e-08	58.0	NZ_JBROXS010000002.1	NZ_JBROXS010000002.1 Klebsiella pneumoniae strain CRKP-C197 plasmid unnamed1, whole genome shotgun sequence
573.20143	573.20143|accn|UGLO01000001_1|accn|UGLO01000001_1:14;size=1	100.0	28	2.08e-07	56.0	NZ_JBSPDI010000003.1	NZ_JBSPDI010000003.1 Escherichia coli strain EC600_TC_NKI plasmid pEC600_NDM_KPC, whole genome shotgun sequence
573.20193	573.20193|accn|UFAN01000001_1|accn|UFAN01000001_1:11;size=3	87.85	107	1.0300000000000001e-22	109.0	NZ_JBSJXU010000003.1	NZ_JBSJXU010000003.1 Enterococcus alishanensis strain JNUCC 77 plasmid unnamed2, whole genome shotgun sequence
573.20193	573.20193|accn|UFAN01000001_1|accn|UFAN01000001_1:14;size=6	89.535	86	8.16e-20	99.6	NZ_JARYIA010000006.1	NZ_JARYIA010000006.1 Staphylococcus aureus strain GE-MSSA34 plasmid unnamed2, whole genome shotgun sequence
